公司名称,公司地址,lat,lon
亚马逊（中国）投资有限公司,深圳福田区深圳国际创新中心B座,22.541906,114.071094
深圳市瑞音博科技有限公司,深圳宝安区奋达西乡科技创新园C栋505室,22.568467,113.867483
深圳艾思戴尔科技有限公司,深圳宝安区易尚创意科技大厦4楼,22.547901,113.877233
深圳市开普达科技有限公司,深圳宝安区华创达现代服务产业园A栋409,22.556437,113.896383
佰成得它（深圳）网络有限公司,深圳宝安区华丰金融港A座11楼1113室,22.566496,113.879943
深圳市恒创天下科技有限公司,深圳宝安区城佳商务大厦5楼508,22.675472,113.812474
深圳市中驰国际出口有限公司,深圳宝安区华丰裕安商务中心(东南门)4楼411-火银顺飞供应链,22.565741,113.895082
深圳市森特尔跨境电商有限公司,深圳宝安区新安六路A栋西乡广兴源互联网产业园A区5栋4楼,22.561228,113.871530
深圳市驰阳电子有限公司,深圳宝安区粤商产业大厦417,22.680387,113.949959
深圳市猫星人科技有限公司,深圳宝安区七星公社403,22.583759,113.913193
深圳市宸尚实业发展有限公司,深圳宝安区丰盛写字楼(东北门)307室,22.726016,113.839456
深圳市冠捷亿源贸易有限公司,深圳宝安区中粮创芯研发中心2栋,22.578717,113.916723
美科（深圳）实业有限公司,深圳宝安区深业U中心(南门)A座1210,22.625274,113.864274
深圳市小尔美科技有限公司,深圳宝安区顺捷工业园大王山二路顺捷工业区3楼,22.698006,113.803229
深圳市裕达乐购网络科技有限公司,深圳宝安区盛天龙创新谷612,22.583050,113.915396
深圳市鹿为科技有限公司,深圳宝安区甜口工业区５栋３楼,22.627050,113.851190
网易云科技（深圳）有限公司,深圳宝安区华丰国际机器人产业园F栋四楼415号,22.602658,113.844436
深圳市火妹网络科技有限公司,深圳宝安区彤鑫科技大厦B座11层,22.680934,113.806088
深圳市南美电子有限公司,深圳宝安区华丰互联网创意园A座606,22.559355,113.867556
深圳市博测达新技术有限公司,深圳宝安区鹏城中骏·*****栋210,22.669249,113.888243
深圳市纳摩科技有限公司,深圳宝安区宝源华丰总部经济大厦A座1122,22.572367,113.862480
深圳市艾尼亚电子科技有限公司,深圳宝安区深圳市艾尼亚科技有限公司黄埔路130号,22.710401,113.837485
深圳知乐科技有限公司,深圳宝安区宝运达物流中心综合楼3栋601,22.592709,113.884648
深圳市创拓电子商务有限公司,深圳宝安区华丰国际机器人产业园A栋421（固戍地铁D出口）,22.602760,113.844850
深圳市精瓷科技有限公司,深圳宝安区伟丰大厦桥头地铁站A出口50米伟丰大厦805,22.689357,113.811063
深圳市智达创展科技有限公司,深圳宝安区深华大学生软件创新港521-522,22.582981,113.912782
深圳市美智林科技有限公司,深圳宝安区七星创意工场(固戍)A栋4楼,22.599789,113.846160
义乌夏歌信息科技有限公司,深圳宝安区金宝商务大厦三楼8319室,22.557655,113.894613
深圳笔漾科技集团有限公司,深圳宝安区前海科兴科学园8栋1302,22.549041,113.943289
深圳市德瑞克尔智控技术有限公司,深圳宝安区新宝益工贸大厦A座1006,22.759882,113.822324
深圳市中冀联合技术股份有限公司,深圳宝安区流塘商务大厦A座20层,22.581862,113.890882
深圳市欧菲尔电器有限公司,深圳宝安区深圳市欧菲尔电器有限公司兴隆路3号2楼B,22.816836,113.839575
深圳市赢商荟资讯有限公司,深圳宝安区赢商荟跨境电商学院四楼,22.556274,113.894899
深圳合悦丰科技有限公司,深圳宝安区U8智造产业园U3栋701-709,22.604292,113.848807
深圳天喆科技有限公司,深圳宝安区广宇工业园一栋二楼,22.630465,113.846454
深圳市亿芯元科技有限公司,深圳宝安区航城创新创业孵化基地A1栋,22.605336,113.847064
深圳市艾瑞泽电子有限公司,深圳宝安区新福工业园B1栋2楼,22.683101,113.782155
深圳市华瀚兴科技有限公司,深圳宝安区腾敏科技园B栋4楼A区,22.586433,113.863840
深圳盈盛信息技术有限公司,深圳宝安区C33(星辉)科创园办公楼705,22.554131,113.900046
深圳市量子力行实业有限公司,深圳宝安区美生慧谷科技产业园夏谷207,22.577020,113.926627
深圳市憬诚科技有限公司,深圳宝安区庭威产业园2号楼4楼E区,22.577517,113.921619
深圳伊尔巴斯科技有限公司,深圳宝安区深圳伊尔巴斯科技有限公司永福路107号伊优小筑3楼,22.689957,113.800850
深圳优赛客电子商务有限公司,深圳宝安区红湾创客中心B3栋5楼,22.594497,113.849469
深圳爱乐购网络科技有限公司,深圳宝安区华美居商务中心A区C座605-608,22.563723,113.879155
深圳市火星人科技有限公司,深圳宝安区塘尾股份商务大厦14楼13A01,22.680174,113.829673
深圳市中村珠宝首饰有限公司,深圳宝安区松山工业区A区第四栋,22.731036,113.801697
深圳维客诺科技有限公司,深圳宝安区中科诺科技园1号厂房三楼,22.729081,113.913068
深圳金仕鹏科技有限公司,深圳宝安区骏泰豪商务中心819室,22.687899,113.802019
深圳市酷擎科技有限公司,深圳宝安区陆氏宝安工业大厦东座3楼304,22.577325,113.910456
深圳市鸿月盛科技有限公司,深圳宝安区创维创新谷招商中心深圳市宝安区创维创新谷招商中心2栋B座北13楼1328-1329,22.640115,113.924631
深圳市邵晨电子科技有限公司,深圳宝安区深圳市邵晨电子科技有限公司C栋五楼502,22.727554,113.849384
深圳市沃蕾特饰品有限公司,深圳宝安区宝运达物流中心-研发综合楼607,22.592059,113.884464
深圳市巨能新能源发展有限公司,深圳宝安区深圳市威富多媒体有限公司3楼,22.604533,113.889472
深圳市鹏创龙盈科技有限公司,深圳宝安区深华大学生软件创新港A306,22.582981,113.912782
深圳市民展科技开发有限公司,深圳宝安区深圳前湾硬科技产业园C栋704,22.594112,113.836659
深圳酷帕奇科技有限公司,深圳宝安区福永商会信息大厦,22.685236,113.809647
深圳慕尼斯电子有限公司,深圳宝安区深圳慕尼斯电子有限公司六楼,22.557107,113.900183
深圳市米欧精密金属科技有限公司,深圳宝安区金源商务大厦A座二楼219,22.570546,113.859826
深圳市景欣泰家居用品有限公司,深圳宝安区深圳名优工业品展示采购中心A座A643,22.567702,113.867118
深圳市绿为电子实业有限公司,深圳宝安区深圳西部硅谷B座C区508-509,22.626035,113.837664
深圳市栢博旅游用品有限公司,深圳宝安区宝安智谷A座719,22.582437,113.858832
深圳市钮安营科技有限公司,深圳宝安区美合意谷地利楼407,22.555259,113.884020
深圳金鑫世纪实业有限公司,深圳宝安区华万工业园E栋5楼,22.588637,113.854019
深圳市东之星电子科技有限公司,深圳宝安区蘅芳科技大厦A座1301D,22.576637,113.862567
深圳市艾华利电子有限公司,深圳宝安区腾耀大厦A座708,22.683430,113.806797
深圳市善科科技有限公司,深圳宝安区鹏城创客中心501,22.747543,113.819427
深圳市德雅智联科技有限公司,深圳宝安区彤鑫科技大厦A栋1002,22.680542,113.806241
春之晓（深圳）科技有限公司,深圳宝安区宝源华丰总部经济大厦D座612,22.572479,113.861493
深圳市勇创成科技有限公司,深圳宝安区定军山电影科技产业园1401-1407,22.591786,113.875816
臻品汇集（深圳）科技有限公司,深圳宝安区径贝湖创业园2712-210,22.685834,113.924766
深圳市汉宸科技有限公司,深圳宝安区中亚硅谷大厦8栋1506,22.737141,113.821217
深圳市鸿泰达科技有限公司,深圳宝安区同泰时代中心4栋706,22.729192,113.829543
深圳市零一创新技术有限公司,深圳宝安区西湾智园A1栋4层3A01A,22.606896,113.841869
深圳市玉美西科技有限公司,深圳宝安区深圳市潮汕民俗博物馆二楼268,22.575674,113.866013
深圳市海创达科技有限公司,深圳宝安区深圳名优工业产品展示采购中心B座530,22.568093,113.866406
深圳市铁证电子有限公司,深圳宝安区正泰来商务大厦8801,22.575636,113.867142
深圳市大萝卜科技有限公司,深圳宝安区智汇创意A栋508,22.721955,113.799668
深圳市安赛普科技有限公司,深圳宝安区同泰时代中心4栋1002,22.729192,113.829543
深圳市艾可里贸易有限公司,深圳宝安区U8智造产业园u3栋7楼712房,22.604292,113.848807
水木贸易（深圳）有限公司,深圳宝安区泰华梧桐岛13B栋4楼,22.606925,113.838425
深圳深水电子商务有限公司,深圳宝安区标帆科技大厦517,22.703328,113.817170
深圳市座头市网络科技有限责任公司,深圳宝安区航城智谷·中城未来产业园一号楼5层,22.606345,113.848274
南京盛玖新能源科技有限公司,深圳宝安区U8智造产业园固戍航城大道,22.605343,113.849854
深圳市海洲鹰电子有限公司,深圳宝安区佳裕大厦407,22.770066,113.827256
深圳市未来神鸟技术有限公司,深圳宝安区前海卓越时代广场C座,22.730888,113.801901
深圳市斯诺格科技有限公司,深圳宝安区旭达高端智造产业园固戍,22.598820,113.842103
深圳市古古美美实业有限公司,深圳宝安区西乡街道乐群社区宝乐一巷1-2号正泰来商务大厦11楼,22.575636,113.867142
深圳市瑞粒科技有限公司,深圳宝安区银田创意园锦驰双创308,22.585436,113.859655
深圳市广乐伟业国际贸易有限公司,深圳宝安区福海信息港A10栋4层408,22.674302,113.804516
深圳市日盛华科技有限公司,深圳宝安区强荣东工业区E1栋2楼,22.635416,113.865407
深圳天好光电有限公司,深圳宝安区深圳市安托山高科技工业园二号厂房4楼,22.733182,113.789787
蜜蜂电子商务运营管理（深圳）有限公司,深圳宝安区华创达文化科技产业园C栋508,22.569621,113.887282
深圳市飞列科技有限公司,深圳宝安区前湾智创B栋B501室,22.555259,113.884020
深圳市哲仕新能源有限公司,深圳宝安区美生创谷科技创新园慧谷401,22.578368,113.927713
深圳市恒力芯源电子科技有限公司,深圳宝安区C33(星辉)科创园215,22.554131,113.900046
深圳市博思迪科技有限公司,深圳宝安区同泰时代广场2栋A座804室（雅马逊科技）,22.678319,113.804070
深圳市迅龙软件有限公司,深圳宝安区名优工业产品展示采购中心-B座1、2区(正门)B座2区219,22.568093,113.866406
深圳市深鸿创展科技有限公司,深圳宝安区华丰世纪科技园A3栋A面7楼,22.599133,113.836761
深圳市赫兹家电有限公司,深圳宝安区勤诚达大厦13号楼1401-03,22.570828,113.909193
深圳市松皓科技有限公司,深圳宝安区星河大厦(新沙路)9901,22.728278,113.829708
深圳市拓然天科技有限公司,深圳宝安区广兴源互联网创意园(兴业路)501,22.550172,113.880204
星益控股（深圳）有限公司,深圳宝安区宝安华丰华源科技创新园312,22.567589,113.866441
深圳市新迪龙工业有限公司,深圳宝安区索佳科技创新园综合楼704,22.607486,113.847238
深圳市赛美康科技有限公司,深圳宝安区中晟会港湾C1700,22.686325,113.810451
深圳市朝夕创新科技有限公司,深圳宝安区中粮创芯研发中心1栋8楼06,22.578738,113.916612
深圳市鸣风科技有限公司,深圳宝安区粤商产业大厦506,22.680387,113.949959
深圳市鼎润泰科技有限公司,深圳宝安区宗泰未来城3楼308,22.571248,113.859921
深圳市优斯邦电子科技有限公司,深圳宝安区同安鸣丰商务大厦1308室,22.682048,113.951259
深圳市前海腾达实业有限公司,深圳宝安区盛天龙创新谷3楼311室(5号线兴东地铁站D出口右转黑色铁门直行300米),22.581173,113.917814
深圳商雅创新发展有限公司,深圳宝安区广兴源互联网科技创意园(兴业路)A栋521,22.558980,113.867396
深圳市易丰扬科技集团有限公司,深圳宝安区易丰扬集团易丰扬前台,22.555259,113.884020
深圳乐之海电子商务有限公司,深圳宝安区深圳市卓越鹏信大厦417,22.584189,113.858736
深圳市彼岸环球科技有限公司,深圳宝安区彼岸环球科技有限公司创新楼B座1楼,22.765141,113.834553
深圳市华联讯电子有限公司,深圳宝安区华联迅电子厂恒丰工业城C1栋4楼,22.630419,113.867797
拓普微视（深圳）科技有限公司,深圳宝安区盛天龙创新谷420,22.583050,113.915396
